Startup,URL,Business Description,"Funding 
Round","Total 
funding (US$)",Opportunity Space,,Founded,Country
TecHullClean,https://techullclean.com/,"TecHullClean Pte. Ltd. is an underwater hull cleaning company specialising in the development and manufacture of environmentally friendly hull cleaning equipment and solutions, in line with the International Maritime Organization (IMO) Marine Environment Protection Committee’s (MEPC) 2011 Guidelines for the Control and Management of Ships’ Biofouling to Minimise the Transfer of Invasive Aquatic Species.",Undisclosed,,Retrofitting existing vessels with green tech,,2016,Singapore
Brightree Pte Ltd,http://www.brightree.com.sg/,"Brightree is Singapore Technology Company which builds Internet of Machines to provide integrated asset management to various industries such as Maritime (Bunkering and Offshore Support companies), Oil & Gas, Mining etc
",Undisclosed,,Retrofitting existing vessels with green tech,,2011,Singapore
LNGTainer Ltd,http://www.lngtainer.com/,LNGTainer Ltd.'s patented LNG Containers allow the use of existing global infrastructure for handling of ordinary shipping containers in the new and booming LNG energy distribution market. ,Series A,,Retrofitting existing vessels with green tech,,2011,Finland
SailRouter,http://sailrouter.com/,SailRouter™ is all-in-one solution for reducing fuel consumption of merchant ships.,Undisclosed,,Retrofitting existing vessels with green tech,,2016,Netherlands
WE Tech Solutions Oy,http://www.wetech.fi,"The company has developed a portfolio of new solutions providing many benefits to the shipping industry worldwide such as increasing energy efficiency, reducing fuel consumption and cutting environmentally harmful emissions.",Undisclosed,,Retrofitting existing vessels with green tech,,2010,Finland
HYON,http://hyon.no,"Hyon AS is a joint venture owned by Nel ASA, Hexagon Composites ASA and PowerCell Sweden AB. We develop and deliver turn-key solutions for the complete hydrogen value chain, from production to utilization. ",Undisclosed,,Retrofitting existing vessels with green tech,,2017,Norway
Ocean Freight Exchange,https://www.theofe.com/,AI and predictive analytics tech to the dry bulk and tanker ocean freight markets.,Undisclosed,,Time Sensitive Transport,,2015,Singapore
Inttra,https://www.inttra.com/,"INTTRA has raised $39.5 million to build the largest electronic transaction platform in the industry which processes 700,000 container orders per week, a number that represents more than 25% of all global ocean container trade.",Undisclosed,"39,500,000",End-to-end supply chain transparency,,2000,USA
Dsco,https://www.dsco.io/,"Supply chain platform matching drop-ship retailers, manufacturers, distributors and freight forwarders.",Undisclosed,"4,300,000",End-to-end supply chain transparency,,2015,USA
Cargomatic,https://cargomatic.com/,Cargomatic is a real-time on demand network for Local Truck Availability. Shippers can submit loads and instantly find nearby trucks to service their needs.,Series B,"55,800,000",In-land infrastructure development,,2013,USA
Globe Tracker,https://www.globetracker.com/,"The startup is focused on end to end cold chain visibility. It combines both cellular and other Internet of Things (IoT) technologies like Bluetooth and LoRa to address remote temperature monitoring, compliance, and visibility across the cold chain.",Undisclosed,"5,500",Time Sensitive Transport,,2007,Denmark
Stargo,https://www.stargo.co/,"Stardox reads, interprets and structures data in email, spreadsheets, pdfs and even voicemail format into a data feed for company systems.",Series B,,Intelligent freight price discovery,,2010,Israel
Fareye,https://www.getfareye.com/transportation/,"FarEye platform uses predictive technology to estimate delay in freight movement. This helps manufacturers with better planning for arrival of goods, reliable transportation reducing inventory and benchmarking transit times to reduce transportation cost.",Series B,"1,160,000",End-to-end supply chain transparency,,2013,India
Intelligent Cargo System,https://www.intelligentcargosystems.com/cargomate.html,"This company is dedicated to optimizing port calls in every port, worldwide. The platform minimizes idle time on the berth, allowing ships to sail slower, save fuel, and save money.",Seed,"73,700",End-to-end supply chain transparency,,2017,England
Transmetrics,https://transmetrics.eu/,"Transmetrics helps freight companies to predict future volume of shipments for the next 2-6 weeks, which enables companies to eliminate empty capacity before it occurs. This leads to multi-million savings and on top of that reduces the amount of CO2 emissions produced, lowers the amount of fossil fuels used by the transport industry, reduces traffic on the roads and lowers prices for freight shipments. Transmetrics’ prediction approach is based on advanced statistical methods, machine learning and data mining algorithms. Its pricing follows monthly pay-as-you go model with companies paying only for what they actually use in prediction.",Seed,"670,000",Container logistics optimisation,,2013,Bulgaria
Nautilus Labs,https://nautiluslabs.co/,"Nautilus is building artificial intelligence to advance the efficiency of ocean commerce. We deliver technology to help shipping companies minimize fuel consumption, maximize operational efficiency, and optimize fleet performance. By arming ship owners and operators with real-time predictive decision support, Nautilus is reducing greenhouse gas emissions and making global trade sustainable.
",Seed,"2,000,000",Retrofitting existing vessels with green tech,,2016,USA
ShipChain,https://www.shipchain.io/,ShipChain is making logistics more transparent and secure with Blockchain Technology.,Undisclosed,,End-to-end supply chain transparency,,2017,USA
Balbix,https://www.balbix.com/,"Balbix provides a continuous risk assessment and breach prediction platform for preventing a cyber attack in the organization. The platform is a predictive risk platform that delivers a real-time risk heat map for the security posture & resilience of enterprise against cyber-breaches. Employs AI & predictive analytics over the data points collected by its sensors. Continuously monitors every device, app, and user across for various attack vectors. Claims to predict critical breach scenarios and assists in prioritizing security operations and projects.",Series B,"28,600,000",Port cybersecurity,,2015,USA
CloudKnox,https://cloudknox.io/,"CloudKnox Security provides a security solution for hybrid cloud environments through a single platform. The CloudKnox Cloud Security Platform uses Identity Authorization Administration (IAA) to help enterprises manage their identity privilege lifecycle across any private and public cloud ensuring risk against compromised credentials and insider threats. The platform supports all private and public clouds including AWS, Microsoft Azure, Google Cloud, and VMWare.",Series B,"12,000,000",Port cybersecurity,,2016,USA
CTM360,https://www.ctm360.com/,CTM360® is a Cyber Security subscription service offering 24 x 7 x 365 Cyber Threat Management for detecting and responding to cyber threats.,Undisclosed,,Port cybersecurity,,2007,Bahrain
Obsidian,https://www.obsidiansecurity.com/,Obsidian Security is a stealth mode cyber security startup which is developing a threat detection solution for organizations.,Series B,"20,000,000",Port cybersecurity,,2017,USA
I-React,https://www.i-react.eu/, I-React develops solutions to build a more secure and disaster-resilient society through the integration and modelling of data coming from multiple sources.,Undisclosed,,Disaster proofing and management,,2016,Italy
MARSEC Inc.,http://www.marsecinc.com/,"MarSec provides intelligent sea traffic management tools for vessel operators, port operators and maritime authorities using Industrial IOT and Big Data technologies. The platform enables real-time sharing and exchange of intended routes between ships and on-shore vessel traffic monitoring centers.",Undisclosed,,End-to-end supply chain transparency,,2007,USA
Simility,https://simility.com/,"Simility helps companies prevent fraud and abuse in real time with machine learning, big data analytics and data visualization capabilities.",Series B,"25,000,000",Port cybersecurity,,2014,USA
BLOC,https://www.un-bloc.com/,"A strong team focusing on tackling decarbonization, safety, and risk in the maritime industry based on blockchain applications across partners.",Undisclosed,,End-to-end supply chain transparency,,2016,Denmark
Bunker Trust,http://bunkertrust.com/,Use data to mitigate risk & improve compliance as a ship- owner. Full integration into existing bunker user ERP systems. Collaborate for level playing field for bunker ports world wide,Undisclosed,,End-to-end supply chain transparency,,2017,Denmark
Enqlare,https://www.enqlare.com,"Enqlare is an online platform for auction-based booking of dry bulk freight chartering. Charters can create an auction on the platform by specifying auction terms like load and discharge port, rates, and commissions. The charterer can also select brokers who can access the auction, specify the time of closing auction and publish the auction. Brokers can then invite the owners who can place bids. After the auction is closed, the customer can select the owner which they want to contract with and create a charter party.",Seed,"301,000",Intelligent freight price discovery,,2016,Sweden
The Cargo site,https://www.thecargosite.com,"Thecargosite is a tech-enabled freight forwarder providing an online platform for its services. Customers can get instant quotes, book & track freight shipments on the platform. Offers tech-enabled services for warehousing & fulfilment, FCL & LCL Shipping, ocean/air/rail freight, and more. Offers a platform for users to manage operations centrally, which also provides analytical insights & reports from the customer's supply chain data.",Undisclosed,,Intelligent freight price discovery,,2013,
Shipa Freight,https://www.shipafreight.com/,"Shipa Freight is an online platform for booking ocean and air freight transportation. The platform enables shippers to request quotes from the ocean and air carriers, book and pay for the services online. Also, offers real-time tracking of shipments. Part of Agility. The platform offers access to the partner network of logistics service providers. Its mobile apps are avilable for the Android and iOS platforms.",Undisclosed,,Intelligent freight price discovery,,2017,United Arab Emirates
Flexport,https://www.flexport.com/,"Flexport is a licensed customs brokerage and freight forwarder built around a modern web application. Its freight service includes an online dashboard for businesses to easily understand, purchase, manage, and track the services required for global trade. Its team of logistics experts lets focus on core business by ensuring goods arrive at fulfillment/distribution centers on time and at the lowest cost.",Series E,"1,000,000,000",Intelligent freight price discovery,,2013,USA
FreightHub,https://freighthub.com/en/,"Provider of a digital freight forward and shipment management platform designed to manage logistics. The company's online platform is a full-service freight forwarder and digital interface that manages all past, current and future freight shipments and helps companies to keep track of missing documents, upload all necessary files and store them for future use, enabling logistic service providers to book and manage global freight shipments online without any additional costs.",Series B,"53,000,000",End-to-end supply chain transparency,,2016,Germany
Sote,https://getsote.com/,Sote is building the operating system for trade in Africa to allows businesses to interact with Africa as one addressable market. We provide software solutions to a range of logistics service providers under a single platform and allow businesses to interact seamlessly with the continent's supply chain. Our mission is to remove all friction and bottlenecks stifling the movement of goods within Africa. Sote is based in SF and Nairobi.,Undisclosed,"700,000",End-to-end supply chain transparency,,2018,USA
iContainers,https://www.icontainers.com/,"iContainers is an online freight forwarder  that allows shippers to search thousands of transportation options, find the best routes, schedules and rates for moving their merchandise and book for a service online. It manages the entire process of export by sea and air, from the collection of the goods in the warehouse customer until delivery to the port of destination. The platform aggregates freight rates for more than 100,000 trade routes covering over 300 destinations. Its customers  include large firms, small and mid-sized businesses (SMEs) and individuals.",Series C,"9,190,000",Intelligent freight price discovery,,2007,Spain
Import Radar,https://importradar.com/,"Import Radar tracks worldwide shipping activity to provide clients current and recent activities in the import-export business. Its shipping databases reveal suppliers, importers, products, volumes, and more. Clients can search the manifests using any combination of data fields-everything from shipper to consignee, importer, and exporter, plus the product description, date, country of origin and other data points. Using this data, clients can identify suppliers, connect with new customers, and learn about their competitors’ supply chains. Monetizes through monthly subscriptions.",Undisclosed,,End-to-end supply chain transparency,,2015,Spain
DexFreight,https://dexfreight.io/,"dexFreight is a collaborative decentralized freight marketplace. The AI-enabled, blockchain-based open source logistics platform enables users (freight forwarders, carriers, etc) to collaborate with each other and offer shared services to customers. Features include smart contract-based digitized agreements, invoicing, and more. It can also be integrated with other third-party systems.",Seed,"925,000",End-to-end supply chain transparency,,2018,USA
New York Shipping Exchange,https://www.nyshex.com/en/,"New York Shipping Exchange (NYSHEX) provides an online platform to connect ocean carriers with shippers, non-vessel operators, and forwarders. Carriers can list available capacity and other details such as prices on the platform and shippers can accept offers and close a contract online.It is compliant with all U.S. regulations and Federal Maritime Commission’s contract filing requirements.It also supports freight financing and settlement through banks.It has raised a Series A of round 8.5 million in March 2017 led by Goldman Sachs Principle Strategic Investments and GE Ventures.",Series A,"15,300,000",Intelligent freight price discovery,,2014,USA
SimpliShip,https://www.simpliship.com/,"Simpliship provides a fully automated, dynamic online marketplace connecting small to midsize international shippers with qualified NVOCCs and freight forwarders. Provides a cloud based application with a centralized platform to request, manage and analyze spot market air and ocean freight rates. allowing small and medium-sized shippers to bid out ocean and airfreight loads to carriers. Shippers are automatically notified of the bid and can choose a carrier best suited to them. The marketplace is free for shippers, and those that register get access to customisable shipping templates, shipment and rate histories, and carrier profiles. It charges a percentange of the transaction amount from carriers",Undisclosed,,End-to-end supply chain transparency,,2014,USA
Buyco,https://buyco.co/,"BuyCo provides collaborative transport management solutions to importers & exporters. The platform connects shippers and import-export businesses over a single platform, enabling shippers to search, book and receive tracking information. Enterprises can manage shipping operations and provide real-time visibility to shippers. Features include document management, exceptions/incidents management, analytics, and more. It can also be integrated with other third-party systems.",Undisclosed,,Paperwork simplification/reduction,,2015,France
Tradlinx,https://tradlinx.com/,"Tradlinx provides an online platform for comparison and booking of ocean freight. Customers can compare and book FCL, FCL and bulk cargo from the platform. They can also access information related to shipping schedules of major shipping lines, forwarding companies, and port information.It is focussed on small and medium businesses who have less knowhow of import/export processes.",Undisclosed,,Intelligent freight price discovery,,2015,South Korea
Freightcrate,https://freightcrate.in/,"Freightcrate provides an online platform to connect importers, exporters with shippers. Customers can source shipping quotes from multiple service providers and also book online. Its features include ability to compare quotes, automated email shipment updates, online tracking and a dashboard to analyze expenditure and budgets.",Undisclosed,,Intelligent freight price discovery,,2016,India
MacroPoint,https://www.macropoint.com/,"MacroPoint is a global freight visibility platform for shippers, brokers and 3PLs to get real-time visibility on the freight they have given to 3rd party carriers. MacroPoint’s patented, automated load monitoring and tracking software provides load location visibility, predictive analytics, and an automated communication platform to enable decision making for its clients.The solution is a cloud-based SaaS and it works on cell phone, with existing in-vehicle ELD/GPS and tracking devices. It provides real-time location monitoring and tracking, delivery monitoring, and event notifications to third parties.",Undisclosed,"44,000,000",End-to-end supply chain transparency,,2011,USA
ColoadX,https://www.coloadx.com/home,"CoLoadX is an ocean freight marketplace for freight forwarders, NVOCCs, and logistics service buyers. It provides freight providers and NVOCCs with an access to FCL and LCL shipment rates simplifying the freight buying process for them and help them increase their customer base. Also plans to offer API for logistics software providers to increase revenue from their existing customer base.",Seed,"1,000,000",Intelligent freight price discovery,,2015,USA
Dray Alliance,https://www.drayalliance.com/home/,"Dray Alliance is an AI-enabled online marketplace for container drayage services in & around Los Angeles and Long Beach. Enables users, freight forwarders and import/export shippers to book drayage services from multiple operators on the platform, via an AI-enabled quoting system. Users can send/receive quotes, see estimated transit times and book services by making online payments. The solution can also be integrated with other third-party systems. Users can also track containers in real time. Clients include Mattel, Univeral Cargo, and YTO Express Group.",Seed,"4,900,000",Intelligent freight price discovery,,2017,USA
ItsMyCargo,https://www.itsmycargo.com/,"ItsMyCargo services freight forwarders with an online shop system enabling the shipper to compare departure times, different modes of transport and prices. The system integrates with current track & trace systems, enables intelligent route planning, and provides overall transparency. ",Undisclosed,,Intelligent freight price discovery,,2015,Germany
Freightbro,https://freightbro.com/,"Freightbro develops cloud-based software solutions focussed on freight forwarders. Its products include Instaquotes, InstaOps, and Open Dashboard. Instaquotes is a rate discovery and quote generation tool which has the ability to generate FCL, LCL, Air, CHA quotes. Forwarders need to input basic shipment details in the tool to get different options for shipping freight with internal rates and tariffs from multiple carriers. They can modify tariffs and generate a finalized quote using the profit calculator. InstaOps is an upcoming solution for management of freight operations and rate management across different sales channels. Open Dashboard is an upcoming shipment tracking and exception management platform.",Seed,"580,000",Intelligent freight price discovery,,2016,India
FAST Appliccations Ltd,https://www.fast-apps.com/,"FAST (Freight Advanced Service Technology) provides cloud-based software solutions for the freight industry. The solutions enable freight forwarders to automate and technologically enable the business processes. Product offerings include 'Fast Pro' and 'Fast - Network' - a networking tool for managing partners. 'Fast Pro' enables users to manage operation by connecting users (freight forwarders) with freight stations, customs offices, carriers, warehouses, and shippers on a single platform. Features include shipment management, scheduling, accounting, invoicing, warehouse management, analytics, and more. It is available on a monthly subscription basis depending on the user requirement",Undisclosed,,Paperwork simplification/reduction,,2016,USA
Vforwarding,https://vforwarding.com/,"vForwarding, by VisualMS, offers a SaaS-based solution for freight forwarders to manage the complete operational flow from import/export of shipments to invoicing. The software allows them to issue electronic documents like bill of lading, invoices, CMR, AWB, waybill, etc which can be easily sent to customers, transporters, suppliers, customs agents, etc. ",Undisclosed,,Paperwork simplification/reduction,,2011,Spain
Cargodots,https://www.cargodots.com/index.html,"Scrapjet is an online platform for tracking and managing shipments. Users can manage and track shipments along the entire supply chain. Users can also share information with other users and view audit trails. Additionally, the platform also has templates to auto-generate multiple documents. ",Undisclosed,,Intelligent freight price discovery,,2016,USA
LogiNext,https://loginextsolutions.com/,"LogiNext designs logistics management software that tracks the workforce in real-time on a single map interface. Its logistics management software offers logistics data analytics, warehouse management and asset tracking services, enabling companies to plan and manage their dispatch schedule, delivery routes and capacity in a cost-optimized way.",Series B,"49,600,000",End-to-end supply chain transparency,,2013,India
Haulio,https://www.haulio.io/,"Haulio is a collaborative marketplace for booking trucking services. The haulage management platform connects users with a network of carriers and other stakeholders like freight forwarders, drivers and port operators. Carriers can further collaborate with other stakeholders on the platform to offer industry level sharing. The platform pools various stakeholders and customers to match customer requirements to available haulers/truckers. Features include real-time tracking, reporting, analytics, daily operations overview, real-time information about weather/traffic, and more.",Seed,"803,000",In-land infrastructure development,,2017,Singapore
Curtrack IoT,http://curtrackiot.com/,"Curtrack IoT is a provider of M2M solutions enabling businesses to remotely monitor maintain and control assets in real-time. It offers Asset Remote, a series of GPS trackers enabling remote monitoring of assets and features an intelligent power management algorithm allowing to track continuously after every 15 seconds. The trackers can be programmed to wake up on motion/vibration and go to sleep when stationary. Target industries include transportation & logistics, waste management, manufacturing, construction, and distribution. The company additionally provides solutions in the areas of fleet management, manufacturing, generator monitoring, PLC, heavy equipment etc.",Undisclosed,,In-land infrastructure development,,2013,Netherlands
baselabs,http://www.baselabs.de/,"Baselabs offers an innovative software solution for developing advanced driver assistance systems. Baselabs’ software suite and its services allow increasing its customers’ efficiency in the automotive industry and the performance of driver assistance systems. It provides data fusion in multiple sensor scenarios. Customers are leading OEMs, tier 1 and tier 2 suppliers.",Seed,,In-land infrastructure development,,2012,Germany
BridgeHaul,https://www.bridgehaul.com/,"BridgeHaul is a cloud based solution that bridges the gap between commercial shippers and truckers through automation, creating significant value for both parties in each transaction. The core offering is an algorithmic load matching marketplace that automates carrier procurement for the shipper at contract rates while also optimizing load selection and routing for each individual trucker/carrier. BridgeHaul aims to drive value by charging less than half the typical broker rates and enable truckers to reduce deadhead miles and find profit maximizing loads instantaneously using existing connected devices",Seed,"400,000",In-land infrastructure development,,2015,USA
Green Sea Guard,https://greenseaguard.com/,"Green Sea Guard are working to improve emission monitoring with their gas analysis tools. Their gas monitor sits in the funnel stack and provides an accurate, high resolution, simultaneous measure of exhaust gas. As well as monitoring and verifying emissions for ship operators, they are developing tools which can “smell” when a ship’s engine is not operating correctly. This gives engineers an early warning to malfunctioning equipment, allowing them to carry out maintenance and repair work before an expensive or dangerous breakdown occurs.",Seed,"96,200",Automated port surveillance,,2014,England
Sewio,https://www.sewio.net/rtls-in-logistics/,"A real-time location system (RTLS) grants the knowledge of the exact position of forklifts, vehicles and operators at any given time. Based on previously collected data, an RTLS allows to analyze traffic and enables to identify and eradicate workflow bottlenecks, saving time and money.",Seed,"1,000,000",Automated port infrastructure,,2014,Czech Republic
Tracx Inventory,http://tracxinventory.com/,"Tracx Systems provides software solutions for transloading and on-site storage management. The software enables users to manage transloading operations and on-site storage of commodities. Features include railcar tracking & arrival, inventory receiving, e-mail automation, real-time inventory counting, reporting, account management, and more. 5 Suns Transloading is a part of the clientele.",Undisclosed,,Automated port infrastructure,,2015,Canada
Cobli,https://www.cobli.co/,"Cobli is an end-to-end fleet management and vehicle telemetry solution for fleet operators. The solution consists of a plug-&-play tracking device that connects to the vehicles' OBD port and its corresponding software solution. Features include real-time vehicle tracking, driver behaviour monitoring, route planning & optimization (based on distance, time, etc), geofencing, arrival forecasting, fleet maintenance management, fuel management, and more",Series A,"10,000,000",In-land infrastructure development,,2015,Brazil
Inologis,http://www.inologis.fr/,"Inlogis provides asset tracking solutions for logistics. The solution consists of a tag which needs to be attached to the asset such as pallet or container and an online application which can be used for tracking. It enables tracking of assets during storage and transit. The tags can also be detected through gateways installed at premises. Its features include automated container detection and identification, geofencing, acquisition of information such as location, battery level of tags, automated verification of operations such as loading and unloading among others",Undisclosed,,End-to-end supply chain transparency,,2017,France
ITS-DOST,https://its-dost.com/,"Logisure@DOST provides a suite of transport management solutions. Product offerings include 'DOST' and 'UDAN'. DOST is a collaborative transport management solution covering features such as way-bill generation, real-time location tracking & visibility, account management, electronic proof of delivery, payment processing, and more. UDAN is a collaborative solution for transporters/truckers enabling them to digitize operations. The company is a Winner of an award from Ministry of Urban Development (MoUD) - 2014.",Seed,"78,300",In-land infrastructure development,,2014,India
Real Tracking,https://realtracking.info/en,Realtracking provides a tracking and monitoring solution for cargo. It consists of a GSM tracker device which can be placed in the cargo to transmit location updates from any place with GSM network. The tracker weight 49 grammes and can function for approximately 150 days without charging. Customers can access the data using the mobile application available for iOS. Each tracker is priced at 55 Dollars or at a rental of 5 dollars per month and access to the platform at 15 Dollars per month as of April 2017.,Undisclosed,,End-to-end supply chain transparency,,2015,USA
Smartx Technology,https://smartxtechnology.com/,"SmartX Technology has developed solutions for enterprises to accurately track and locate equipment, materials, and personnel. The asset tracking solution consists of networked hardware like RFID, beacons, sensors etc and an enterprise cloud. Company's product portfolio consist of fixed asset management software, asset visibility and analytics platform, personnel tracking and accountability, returnable & container tracking etc. The solution is used in construction, manufacturing, logistics etc. industries",Series A,"6,000,000",End-to-end supply chain transparency,,2014,USA
Udeocompany,http://www.udeocompany.com/,"Udeo Company provides GPS tracking hardware and software solutions. claims their devices can be used for vehicles, person, fleet management, container, and cargo etc. Features include scheduled and automatic notifications, geo-fencing, alarms, real-time tracking and tracking history etc. The hardware devices are plug and play, with remote handling available for ones made for vehicles.",Undisclosed,,In-land infrastructure development,,2016,United Republic of Tanzania
WallTech,https://www.walltechsystem.cn/,"WallTech provides a suite of software solutions to freight forwarders and cross-border logistics providers. Product offerings include 'Cargoware' - an end-to-end management software for freight forwarders (features include freight booking/matching, order & transport management, invoicing, customs management, port operations management, etc), 'CargoB2B' - for viewing & providing real-time shipment status/visibility, a consumer facing-mobile app for booking services, and 'eTower' - SaaS-based collaborative logistics tower for cross-border logistics",Undisclosed,,Paperwork simplification/reduction,,2011,China
Fourkites,https://www.fourkites.com/,"FourKites provides a comprehensive tracking solution to shippers, brokers, 3PL’s, and carriers. For shippers, it provides the ability to track carriers at all times and helps brokers cover more loads & eliminate check calls with free load tracking. It is powered by a network of 35 relationships with all the major GPS providers. Offers real-time location tracking feed and recalculates ETA every 15 minutes using real‐time data (traffic, weather, etc). Has logic built into the backend to take care of tractor changes and relays at yards/domiciles, geo-fencing to notify arrival/departure at each & every stop, and alerts to help manage exceptions as soon as they occur.",Series C,"106,000,000",End-to-end supply chain transparency,,2013,USA
Idelic,https://idelic.com/,"Idelic specializes in creating enterprise software solutions that meet the safety, compliance, and risk management needs of truck fleets. Offers Safety Suite, which allows safety managers and their teams to automate compliance processes, integrate all of their systems, and gain valuable insight and analytics on their drivers, terminals, and overall operations. Also provides an AI-based safety assistant which helps companies reduce accidents, retain drivers, and lower costs through predictive analytics. Clientele includes National Private Truck Council, Pennslyvania Motor Truck Association, and Truck Load Careers Association",Series A,"11,000,000",In-land infrastructure development,,2016,USA
Ixolution,https://www.ixolution.com/ixsuite/ixterminaloperator/,"Ixolution provides software solutions for logistics. Its products include IXTransportOperator - a transportation management software for liquid, bulk, general cargo, and container transport, IXTerminal Operator - a web-based terminal operating system for inland terminals and IXRailOperator - a forwarding software solution for rail transport which provides also provides train schedules, routes, and rail capacity",Undisclosed,,Automated port infrastructure,,2013,Netherlands
Allotrac,https://allotrac.com.au/,"Allotrac provides transport management solutions for the logistics industry. Offers a hardware agnostic TMS (Transport Management System) with features such as order management, HR management, driver & vehicle management, fleet management, real-time location tracking, document management, driver logging & fatigue management, and more. Additionally, the solution can also be integrated with other third-party systems like ERP, account software, and more",Undisclosed,,In-land infrastructure development,,2013,Australia
Bofan,http://www.bofan.cc/,"Bofan provides integrated hardware and software solutions for fleet management and GPS tracking. Offers multiple variants of GPS tracking devices along with its corresponding white-label user interface. Features include real-time tracking, geofencing, automated alerts for SOS & speeding, history playback, user management, reporting, driver identification, anti-jamming alarms, remote immobilization, and more. Caters to the needs of fleet tracking & management, personal tracking & cold-chain monitoring",Series A,,In-land infrastructure development,,2008,China
Elixia Tech,http://elixia.tech/,"Elixia provides a suite of software solutions to the logistics industry. Product offerings include 'Elixia Speed' - a vehicle telematics solution, 'Elixia Monitor' - a real-time temperature monitoring solution, 'Elixia Trace' - an integrated real-time tracking solution, 'Elixia Fleet' - a fleet management solution, 'Elixia Trip' - a transport management solution, a customer management solution, a document management solution, and a logistics control tower solution. Clientele includes Mondelez, Nestle, Monginis, Mahindra, The Times Group, Faasos, and SM Express",Undisclosed,,End-to-end supply chain transparency,,2011,India
Neft Tag,http://www.neftag.com/,"Neft Tag is a NFC based temperature monitoring solution for cold chain shipments. The solution consists of a data logger for data acquisition and platforms on mobile and web for reading and visualizing data. The logger is HCCP and Part 21 CFR compliant and can operate in the temperature range of -20 to 50-degree Celsius. The platforms' features include interactive temperature graph, CSV and PDF export and audit trail",Undisclosed,,Time Sensitive Transport,,2016,Germany
SkyFresh,https://skyfresh.be/,"Skyfresh provides an online platform for tracking and monitoring of time-sensitive shipments. Customers can add multiple shipments to be monitored and scan labels, QR codes to get product specific checklists. Users can create checklists with data such as origin, destination, temperature range indicated on AWB etc. The mobile application is available for Android and iOS.",Undisclosed,,Time Sensitive Transport,,2013,Belgium
Smart Containers,https://www.smartcontainers.ch/,Smart Containers provides tech-enabled containers for medicine and food transports. The containers are integrated with IoT sensors using the blockchain technology. Enables the shipper to invoice through smart contract payments in and to track the container using blockchain technology.,Undisclosed,,Time Sensitive Transport,,2012,Switzerland
Tag2Sense,http://www.tag2sense.com/,"Tag2Sense is a develper of software and hardware for monitoring goods in transit. The solution consists of sensors which sense environmental factors such as temperature, light, humidity, barometric pressure, vibration, shocks, and location. This data is used to develop insights into shipment condition. The user can access the data and insights using companion smartphone and web-based application",Seed,"19,000",Time Sensitive Transport,,2014,Turkey
TOWER Cold Chain Solutions,http://www.towercoldchain.com/,"KryoTrans provides solutions for cold chain logistics. Its solutions include temperature controlled containers, boxes and data logger. KryoTrans Modular is a temperature controlled passive container which can be configured for different sizes and capable of maintaining temperatures in the range of -60 to 30 degrees Celcius. It is not powered and claims of maintaining a uniform temperature across the container without any hot or cold spots within. It includes integrated data logging feature which also registers events such as opening and closing of doors. KryoLogger is a temperature logger which provides an audit trail of loads by logging internal core and external ambient temperatures of the shipment. It is compliant to ISO17025 and DO-160 EMC standards for avionics equipment.",Series A,"4,150,000",Time Sensitive Transport,,2009,England
Tsenso,https://tsenso.com/en/,"Tsenso has developed solution to measure in real-time and relay the temperature of goods whether food or other temperature sensitive products. The solution consists of connected sensors, a cloud where all the readings are logged and a user-facing application to keep user updated about temperature. The solution is used for measuring temperature of food storage units and for containers in last mile delivery.",Seed,"130,000",Time Sensitive Transport,,2015,Germany
ViGIE Go,http://vigiego.com/,"ViGIE Go, a product of ViGIE Solutions provides a tracking and monitoring solution for temperature sensitive shipments. The solution consists of a data logger and tracking device and an online platform for monitoring and accessing the data acquired by the logger. The logger is available in two variants - a single use tracker named VIGIE GO 36d Single User and ViGIE GO 1Y Multiple with a memory capacity of 5000 recordings. It has a range of -40 to 60-degree Celsius",Undisclosed,,Time Sensitive Transport,,2016,Portugal
CargoSnap,https://www.cargosnap.com/,CargoSnap provides a software solution for capturing and management of documentation. The solution consists of a mobile application for agents which can be used for scanning and tagging of documents and a web-based dashboard for management and sharing of documents with shippers or customers. All documents on the platform are stored for 3 years. The mobile application is available for Android and iOS,Undisclosed,,Paperwork simplification/reduction,,2016,Netherlands
Ditat,https://www.ditat.com/,"Ditat is a transportation management solutions provider. Offers a TMS (Transport Management Software) and provides solutions to shippers and carriers. Shipper solutions include load planning, carrier management, freight invoicing, document management, and more. Carrier solutions include load planning, dispatch management, driver management, fleet tracking, equipment tracking & maintenance, invoicing, document management, IFTA tax reporting, and more. The software can be integrated with other third-party systems and acquires data through EDI. Additionally, the company also offers implementation, training, support and consultancy services to clients. Claims to have partnered with ALK Technologies, Blue Tree Systems, Comdata Corporation among others to provide solutions to clients",Undisclosed,,Paperwork simplification/reduction,,2010,USA
Fathom5,https://www.fathom5.co/,"Fathom5 is an industrial cybersecurity company focused on the maritime sector. We provide the world's ports, ships and their insurers with secure hardware, analytics, and services that make their deeply interdependent critical systems safer, more efficient, and more profitable",Undisclosed,,Port cybersecurity,,2018,USA
